id,source_proposal,title,description,category,dataset,artifact_kind,query_type,platform,mitre,validation_status,performance_rating,file
N035,TH-010,Threat Hunting - Privileged Group Membership Additions,"Selects local/global/universal group addition events against an explicit privileged-group SID scope, resolves initiator/member identities and retains established change context.",Threat Hunting / Identity,"[""{{GROUP_ADDITIONS_DATASET}}"", ""{{PRIVILEGED_GROUPS_DATASET}}"", ""{{SID_DIRECTORY_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1098.007"", ""technique"": ""Additional Local or Domain Groups"", ""tactics"": ""Persistence (TA0003); Privilege Escalation (TA0004)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/identity/n035-threat-hunting-privileged-group-membership-additions.xql
N036,TH-011,Threat Hunting - New Domain Accounts and Early Lifecycle Activity,Preserves verified domain-account creation and adds first observed successful authentication plus subsequent group additions within 24 hours using stable SID/domain keys.,Threat Hunting / Identity,"[""{{ACCOUNT_LIFECYCLE_EVENTS_DATASET}}"", ""{{DOMAIN_ACCOUNT_CREATION_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1136.002"", ""technique"": ""Domain Account"", ""tactics"": ""Persistence (TA0003)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/identity/n036-threat-hunting-new-domain-accounts-and-early-lifecycle-activity.xql
N037,TH-012,Threat Hunting - Configured SSH Authorized Keys File Changes,"Correlates successful mutations of configured SSH authorized-key files with owning accounts, writer/process identity and approved key-change windows. Paths remain case-sensitive.",Threat Hunting / Persistence,"[""{{AUTHORIZED_KEYS_CONFIGURATION_DATASET}}"", ""{{KEY_CHANGE_WINDOWS_DATASET}}"", ""{{SSH_KEY_FILE_CHANGES_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1098.004"", ""technique"": ""SSH Authorized Keys"", ""tactics"": ""Persistence (TA0003)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/persistence/n037-threat-hunting-configured-ssh-authorized-keys-file-changes.xql
N038,TH-013,Threat Hunting - LSASS Memory-capable Access and Dump-file Candidates,Reviews non-baselined or unassessed processes with observed LSASS memory-capable access and correlates subsequent dump-file candidates by source process and endpoint within ten minutes.,Threat Hunting / Credential Access,"[""{{ACCESS_FOLLOWON_FILES_DATASET}}"", ""{{LSASS_ACCESS_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1003.001"", ""technique"": ""LSASS Memory"", ""tactics"": ""Credential Access (TA0006)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/credential-access/n038-threat-hunting-lsass-memory-capable-access-and-dump-file-candidates.xql
N039,TH-014,Threat Hunting - SAM Hive Save Attempts and Related Artifacts,"Preserves parsed reg.exe SAM hive-save attempts and correlates SYSTEM hive access, save outcomes and requested-output file creation/write within 30 minutes.",Threat Hunting / Credential Access,"[""xdr_data"", ""{{HIVE_EXPORT_CONTEXT_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1003.002"", ""technique"": ""Security Account Manager"", ""tactics"": ""Credential Access (TA0006)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/credential-access/n039-threat-hunting-sam-hive-save-attempts-and-related-artifacts.xql
N040,TH-015,Threat Hunting - Domain Controller Database and Snapshot Activity,"Builds a domain-controller timeline of actual NTDS path access/copy, raw reads of its volume, and relevant snapshot/database utility starts with outcome and backup context.",Threat Hunting / Credential Access,"[""{{DIRECTORY_DATABASE_ACTIVITY_DATASET}}"", ""{{DOMAIN_CONTROLLER_DATABASES_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1003.003"", ""technique"": ""NTDS"", ""tactics"": ""Credential Access (TA0006)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/credential-access/n040-threat-hunting-domain-controller-database-and-snapshot-activity.xql
N041,TH-016,Threat Hunting - Unexpected Replication Rights Use with Source Context,"Reviews successful Get-Changes-All control-access usage by non-baselined/unassessed principals, resolves the authenticated source, and attaches time-qualified actual DRS operation evidence.",Threat Hunting / Credential Access,"[""{{DRS_OPERATIONS_DATASET}}"", ""{{REPLICATION_ORIGIN_DATASET}}"", ""{{REPLICATION_RIGHTS_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1003.006"", ""technique"": ""DCSync"", ""tactics"": ""Credential Access (TA0006)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/credential-access/n041-threat-hunting-unexpected-replication-rights-use-with-source-context.xql
N042,TH-017,Threat Hunting - Service-ticket Bursts and Rare Requesters,"Compares successful service-ticket activity in fixed ten-minute windows with a covered prior requester/peer baseline, retaining all encryption types as context.",Threat Hunting / Credential Access,"[""{{SERVICE_TICKETS_DATASET}}"", ""{{TICKET_REQUESTER_BASELINE_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1558.003"", ""technique"": ""Kerberoasting"", ""tactics"": ""Credential Access (TA0006)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/credential-access/n042-threat-hunting-service-ticket-bursts-and-rare-requesters.xql
N043,TH-018,Threat Hunting - No-preauthentication Accounts and TGT Request Activity,"Correlates successful no-preauthentication TGT requests with time-valid account configuration, source/request baselines and approved service exceptions.",Threat Hunting / Credential Access,"[""{{ASREP_REQUEST_BASELINE_DATASET}}"", ""{{PREAUTH_ACCOUNT_STATE_DATASET}}"", ""{{TGT_REQUESTS_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1558.004"", ""technique"": ""AS-REP Roasting"", ""tactics"": ""Credential Access (TA0006)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/credential-access/n043-threat-hunting-no-preauthentication-accounts-and-tgt-request-activity.xql
N044,TH-019,Password Spraying Across Accounts - Schema Binding Template,Ranks source-specific bad-secret failures spread across accounts within 15-minute bins. Retains original reasons and separates source systems; thresholds identify spray-shaped behavior for review.,Threat Hunting / Credential Access,"[""{{AUTH_FAILURE_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1110.003"", ""technique"": ""Password Spraying"", ""tactics"": ""Credential Access (TA0006)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/credential-access/n044-password-spraying-across-accounts-schema-binding-template.xql
N045,TH-020,Browser Credential Store Read Access - Schema Binding Template,Finds successful reads of inventoried browser credential-store files and preserves reader identity for review. Requires real access telemetry and time-valid browser-profile paths.,Threat Hunting / Credential Access,"[""{{FILE_ACCESS_DATASET}}"", ""{{BROWSER_STORE_INVENTORY}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1555.003"", ""technique"": ""Credentials from Web Browsers"", ""tactics"": ""Credential Access (TA0006)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/credential-access/n045-browser-credential-store-read-access-schema-binding-template.xql
N046,TH-022,Privileged Domain Group Discovery - Schema Binding Template,"Selects read-oriented requests targeting authoritative privileged domain-group SIDs, preserving requester and raw query context. Localized names are resolved through a time-valid group inventory.",Threat Hunting / Discovery,"[""{{DIRECTORY_QUERY_DATASET}}"", ""{{PRIVILEGED_GROUP_INVENTORY}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1069.002"", ""technique"": ""Domain Groups"", ""tactics"": ""Discovery (TA0007)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/discovery/n046-privileged-domain-group-discovery-schema-binding-template.xql
N047,TH-023,Internal Service Scanning Fan-Out Candidates - Schema Binding Template,Groups outgoing TCP/UDP endpoint-associated network observations into five-minute bins and selects high destination or port fan-out within verified internal address scope.,Threat Hunting / Discovery,[],SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1046"", ""technique"": ""Network Service Discovery"", ""tactics"": ""Discovery (TA0007)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/discovery/n047-internal-service-scanning-fan-out-candidates-schema-binding-template.xql
N048,TH-024,Network Share Enumeration Requests - Schema Binding Template,"Returns explicit server share-list requests from validated protocol operations or read-oriented command attempts, keeping their evidence kinds and outcomes distinct.",Threat Hunting / Discovery,"[""{{SHARE_ENUMERATION_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1135"", ""technique"": ""Network Share Discovery"", ""tactics"": ""Discovery (TA0007)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/discovery/n048-network-share-enumeration-requests-schema-binding-template.xql
N049,TH-025,Security Tool Discovery Requests - Schema Binding Template,"Finds read-oriented queries whose explicit targets resolve to inventoried security products, preserving registry/service/process query distinctions.",Threat Hunting / Discovery,"[""{{SECURITY_DISCOVERY_DATASET}}"", ""{{SECURITY_PRODUCT_TARGETS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1518.001"", ""technique"": ""Security Software Discovery"", ""tactics"": ""Discovery (TA0007)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/discovery/n049-security-tool-discovery-requests-schema-binding-template.xql
N050,TH-026,RDP from Sources Absent in a Verified Baseline - Schema Binding Template,"Finds current-day successful RemoteInteractive logons whose target/source pair is absent from the preceding 30-day window, only for targets with verified baseline coverage.",Threat Hunting / Lateral Movement,"[""{{WINDOWS_AUTH_DATASET}}"", ""{{RDP_BASELINE_COVERAGE}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1021.001"", ""technique"": ""Remote Desktop Protocol"", ""tactics"": ""Lateral Movement (TA0008)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/lateral-movement/n050-rdp-from-sources-absent-in-a-verified-baseline-schema-binding-template.xql
N051,TH-027,Successful RDP Fan-Out Across Servers - Schema Binding Template,"Counts distinct inventoried servers reached by successful RemoteInteractive logons per client/account in 15-minute bins, preserving criticality and logon-event volume.",Threat Hunting / Lateral Movement,"[""{{WINDOWS_AUTH_DATASET}}"", ""{{SERVER_INVENTORY}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1021.001"", ""technique"": ""Remote Desktop Protocol"", ""tactics"": ""Lateral Movement (TA0008)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/lateral-movement/n051-successful-rdp-fan-out-across-servers-schema-binding-template.xql
N052,TH-028,RDP Session Followed by PowerShell Behavior - Schema Binding Template,Links successful RemoteInteractive authentication to qualifying PowerShell process starts within 30 minutes using a validated endpoint and logon-session key.,Threat Hunting / Lateral Movement,"[""{{WINDOWS_AUTH_DATASET}}"", ""{{SESSION_PROCESS_START_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1021.001; T1059.001"", ""technique"": ""Remote Desktop Protocol; PowerShell"", ""tactics"": ""Lateral Movement (TA0008); Execution (TA0002)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/lateral-movement/n052-rdp-session-followed-by-powershell-behavior-schema-binding-template.xql
N053,TH-029,SMB File Write Followed by Service Execution - Schema Binding Template,"Correlates a completed SMB write, successful installation of a service using the same resolved executable path, and a verified service-associated process start in bounded sequence.",Threat Hunting / Lateral Movement,"[""{{SMB_FILE_WRITE_DATASET}}"", ""{{SERVICE_INSTALL_DATASET}}"", ""{{SERVICE_PROCESS_START_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1021.002; T1569.002"", ""technique"": ""SMB/Windows Admin Shares; Service Execution"", ""tactics"": ""Lateral Movement (TA0008); Execution (TA0002)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/lateral-movement/n053-smb-file-write-followed-by-service-execution-schema-binding-template.xql
N054,TH-030,WinRM Session and Descendant Process Review - Schema Binding Template,"Links authenticated WinRM shells to process starts through verified provider-instance ancestry, retaining requester, command and principal context within 30 minutes.",Threat Hunting / Lateral Movement,"[""{{WINRM_SESSION_DATASET}}"", ""{{WINRM_DESCENDANT_PROCESS_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1021.006"", ""technique"": ""Windows Remote Management"", ""tactics"": ""Lateral Movement (TA0008)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/lateral-movement/n054-winrm-session-and-descendant-process-review-schema-binding-template.xql
N055,TH-031,SSH Accepted Access and Session Command Review - Schema Binding Template,"Preserves accepted SSH authentications and attaches audited exec events through a validated server-session key, showing missing command evidence explicitly.",Threat Hunting / Lateral Movement,"[""{{SSH_AUTH_DATASET}}"", ""{{SSH_COMMAND_AUDIT_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1021.004"", ""technique"": ""SSH"", ""tactics"": ""Lateral Movement (TA0008)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/lateral-movement/n055-ssh-accepted-access-and-session-command-review-schema-binding-template.xql
N056,TH-032,Security Tool Disablement Requests - Schema Binding Template,"Finds explicit stop, deletion, uninstall or protection-disable requests against time-valid inventoried security targets, preserving action outcome without asserting effective disablement.",Threat Hunting / Defense Impairment,"[""{{SECURITY_CONTROL_ACTION_DATASET}}"", ""{{ENDPOINT_SECURITY_TARGET_INVENTORY}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1685"", ""technique"": ""Disable or Modify Tools"", ""tactics"": ""Defense Impairment (TA0112)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/defense-impairment/n056-security-tool-disablement-requests-schema-binding-template.xql
N057,TH-033,Windows Event Log Clearing Records - Schema Binding Template,Returns verified log-clearing audit events with the actual cleared channel and correctly parsed subject identity. The provider/event allowlist keeps confirmed clearing separate from attempted commands.,Threat Hunting / Defense Impairment,"[""{{WINDOWS_LOG_CLEAR_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1685.005"", ""technique"": ""Clear Windows Event Logs"", ""tactics"": ""Defense Impairment (TA0112)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/defense-impairment/n057-windows-event-log-clearing-records-schema-binding-template.xql
N058,TH-034,CloudTrail StopLogging Requests and Observed Trail State - Schema Binding Template,"Reviews AWS StopLogging requests and attaches trail-state observations within 15 minutes, preserving API errors and unknown state rather than assuming a successful logging shutdown.",Threat Hunting / Defense Impairment,"[""{{AWS_CLOUDTRAIL_DATASET}}"", ""{{TRAIL_STATUS_SNAPSHOTS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1685.002"", ""technique"": ""Disable or Modify Cloud Log"", ""tactics"": ""Defense Impairment (TA0112)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/defense-impairment/n058-cloudtrail-stoplogging-requests-and-observed-trail-state-schema-binding-template.xql
N059,TH-035,Prevention Policy Enforcement Loss Across Snapshots - Schema Binding Template,"Compares controlled before/after effective-policy snapshots for each endpoint and protection scope, selecting enforced-to-unenforced transitions tied to successful policy changes.",Threat Hunting / Defense Impairment,"[""{{PREVENTION_CHANGE_DATASET}}"", ""{{EFFECTIVE_PREVENTION_SNAPSHOTS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1685"", ""technique"": ""Disable or Modify Tools"", ""tactics"": ""Defense Impairment (TA0112)""}",REQUIRES_SCHEMA_BINDING,HIGH,queries/threat-hunting/defense-impairment/n059-prevention-policy-enforcement-loss-across-snapshots-schema-binding-template.xql
N060,TH-036,Threat Hunting - High-Cardinality DNS Name Candidates,"Ranks endpoint and base-domain groups with many distinct and long DNS query names using tuned thresholds. Returns record types, responses and process context for investigation; these features alone do not prove tunneling or command and control.",Threat Hunting / DNS,"[""{{DNS_QUERY_EVENTS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1071.004"", ""technique"": ""DNS"", ""tactics"": ""Command and Control (TA0011)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/dns/n060-threat-hunting-high-cardinality-dns-name-candidates.xql
N061,TH-037,Threat Hunting - Periodic Identified Web Connection Candidates,"Measures positive time gaps between deduplicated, application-identified web connection starts for an endpoint, process and destination. Selects sufficiently frequent low-spread intervals for review while preserving the distinction between periodicity and malicious beaconing.",Threat Hunting / Network Periodicity,"[""{{IDENTIFIED_WEB_CONNECTION_STARTS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1071.001"", ""technique"": ""Web Protocols"", ""tactics"": ""Command and Control (TA0011)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/network-periodicity/n061-threat-hunting-periodic-identified-web-connection-candidates.xql
N062,TH-038,Threat Hunting - Inbound Transfers with Attributed Output Files,"Correlates successful inbound transfer observations with a candidate output file written by the same process on the same endpoint within ten minutes. Returns URL, path and available content hash for subsequent reputation and execution pivots.",Threat Hunting / Tool Transfer,"[""{{CONFIRMED_TRANSFER_EVENTS}}"", ""{{FILE_CREATION_EVENTS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1105"", ""technique"": ""Ingress Tool Transfer"", ""tactics"": ""Command and Control (TA0011)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/tool-transfer/n062-threat-hunting-inbound-transfers-with-attributed-output-files.xql
